TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;07.06.2014;05:00:44;07.06.2014;06:00:44;47.2547131;8.5730903;682.16;3.2;685871;234376;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;T;47.68111111;RE10;73.08214556;0.00672824;10862
RE10;13573;07.06.2014;08:01:46;07.06.2014;09:01:46;47.2549095;8.5721762;739.59;4.4;685801;234397;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;T;28.86666667;RE10;52.63078947;0.004901359;10738
RE10;13573;07.06.2014;11:00:44;07.06.2014;12:00:44;47.254784;8.5728473;692.57;2;685852;234384;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;T;65.95851852;RE10;26.62705391;0.002459093;10828
RE10;13573;07.06.2014;14:01:12;07.06.2014;15:01:12;47.2545931;8.5726422;663.17;2.4;685837;234362;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;T;57.49777778;RE10;88.95504483;0.008257988;10772
RE10;13573;07.06.2014;17:00:44;07.06.2014;18:00:44;47.2553291;8.5730776;696.47;2.8;685869;234445;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;T;50.51592593;RE10;37.64306045;0.003485791;10799
RE10;13573;07.06.2014;20:00:43;07.06.2014;21:00:43;47.2550046;8.5732137;714.84;6.2;685880;234409;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;N;98.72787037;RE10;45.48626166;0.004211691;10800
RE10;13573;07.06.2014;23:00:43;08.06.2014;00:00:43;47.2547792;8.573716;691.7;2;685918;234384;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;N;105.3011111;RE10;18.86796226;0.001747034;10800
RE10;13573;08.06.2014;02:00:43;08.06.2014;03:00:43;47.2546876;8.5735082;686.13;3.2;685902;234374;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;N;50.25833333;RE10;30.41381265;0.002816094;10800
RE10;13573;08.06.2014;05:00:43;08.06.2014;06:00:43;47.2547405;8.573104;675.26;2.2;685872;234379;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;T;55.4;RE10;9.433981132;0.000873517;10800
RE10;13573;08.06.2014;08:00:43;08.06.2014;09:00:43;47.2548082;8.5731738;700.97;3.4;685877;234387;08.06.2014 03:50;08.06.2014 04:30;08.06.2014 20:19;08.06.2014 20:59;0.804079651;T;46.5675;RE10;59.05929224;0.005451292;10834
