Anz_reh_lokalisationen;x;y;DG_us;DG_os
1;684650;237525;0.793371149;0.915233272
0;684650;237550;0.52035371;0.921298176
0;684650;237575;0.436869354;0.852008117
0;684650;237600;0.422440136;0.92763185
0;684650;237625;0.393900785;0.667748474
0;684625;237475;0.149379641;0.951587223
4;684625;237500;0.492235592;0.746708928
1;684625;237525;0.456662498;0.904868158
6;684625;237550;0.446527293;0.962444224
1;684625;237575;0.586221104;0.973651121
0;684625;237600;0.694641524;0.788184589
0;684625;237625;0.601506886;0.892337733
0;684625;237650;0.475226283;0.786683575
0;684600;237475;0.185761664;0.960862076
3;684600;237500;0.362517161;0.887535502
2;684600;237525;0.335467746;0.824401622
5;684600;237550;0.306505918;0.848651123
1;684600;237575;0.284589347;0.978159233
2;684600;237600;0.420403996;0.745451319
8;684600;237625;0.741641408;0.967114609
1;684600;237650;0.507683561;0.535187626
0;684600;237675;0.446925983;0.664406692
0;684575;237500;0.42238562;0.959386411
0;684575;237525;0.320033056;0.968443206
0;684575;237550;0.25334991;0.920588239
0;684575;237575;0.131315114;0.96271806
3;684575;237600;0.378712216;0.928519277
3;684575;237625;0.594789358;0.950613598
0;684550;237500;0.083818526;0.720770788
0;684550;237525;0.39038903;0.867565925
0;684550;237550;0.52727688;0.861277892
2;684550;237575;0.311853401;0.836627788
1;684550;237600;0.30153439;0.843950304
1;684550;237625;0.267850034;0.721201826
0;684525;237575;0.181066268;0.730867143
0;684525;237600;0.661013484;0.904746456
0;684475;237200;0.510552709;0.886100407
0;684450;237200;0.466955693;0.913722114
0;684425;237200;0.157093875;0.824568965
0;684250;237325;0.664125173;0.602439149
