Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
2016011804;0.000;0.000;0.000;0.000
2016011805;0.000;0.000;0.000;0.000
2016011806;1.685;2.277;0.000;0.000
2016011807;0.842;0.000;0.000;0.000
2016011808;0.842;1.139;0.000;0.000
2016011809;0.000;0.000;0.000;0.000
2016011810;1.685;1.139;0.000;0.000
2016011811;4.212;3.416;1.065;0.000
2016011812;6.739;4.554;1.065;0.000
2016011813;3.370;5.693;1.065;1.027
2016011814;7.582;7.970;0.000;0.000
2016011815;4.212;3.416;0.000;0.000
2016011816;1.685;3.416;1.065;1.027
2016011817;1.685;1.139;1.065;0.000
2016011818;0.000;0.000;0.000;0.000
2016011819;0.842;0.000;0.000;0.000
2016011820;0.000;1.139;0.000;0.000
2016011821;0.000;0.000;0.000;0.000
2016011822;0.000;0.000;0.000;0.000
2016011823;0.000;0.000;0.000;0.000
2016011900;0.000;0.000;0.000;0.000
2016011901;0.000;0.000;0.000;0.000
2016011902;0.000;0.000;0.000;0.000
2016011903;0.000;0.000;0.000;0.000
2016011904;0.000;0.000;0.000;0.000
2016011905;0.000;0.000;0.000;0.000
2016011906;0.000;0.000;0.000;0.000
2016011907;0.842;0.000;0.000;0.000
2016011908;1.685;0.000;1.065;0.000
2016011909;2.527;0.000;0.000;0.000
2016011910;3.370;2.277;0.000;0.000
2016011911;1.685;0.000;0.000;0.000
2016011912;2.527;0.000;0.000;0.000
2016011913;0.842;0.000;1.065;0.000
2016011914;2.527;6.832;3.196;0.000
2016011915;1.685;7.970;1.065;0.000
2016011916;1.685;1.139;0.000;0.000
2016011917;0.842;1.139;0.000;0.000
2016011918;0.000;1.139;0.000;0.000
2016011919;0.000;0.000;0.000;0.000
2016011920;0.000;0.000;0.000;0.000
2016011921;0.000;0.000;0.000;0.000
2016011922;0.000;0.000;0.000;0.000
2016011923;0.000;0.000;0.000;0.000
2016012000;0.000;0.000;0.000;0.000
2016012001;0.000;0.000;0.000;0.000
2016012002;0.000;0.000;0.000;0.000
2016012003;0.000;0.000;0.000;0.000
2016012004;0.000;0.000;0.000;0.000
2016012005;0.000;0.000;0.000;0.000
2016012006;0.000;0.000;0.000;0.000
2016012007;0.842;0.000;0.000;0.000
2016012008;2.527;1.139;0.000;0.000
2016012009;1.685;1.139;0.000;0.000
2016012010;0.842;0.000;2.131;0.000
2016012011;0.000;0.000;0.000;0.000
2016012012;0.842;1.139;0.000;0.000
2016012013;2.527;1.139;1.065;0.000
2016012014;2.527;4.554;0.000;0.000
2016012015;2.527;1.139;1.065;0.000
2016012016;2.527;2.277;0.000;0.000
2016012017;0.000;0.000;1.065;0.000
2016012018;0.000;0.000;0.000;0.000
2016012019;0.000;0.000;0.000;0.000
2016012020;0.000;0.000;0.000;0.000
2016012021;0.000;0.000;0.000;0.000
2016012022;0.000;0.000;0.000;0.000
2016012023;0.000;0.000;0.000;0.000
2016012100;0.000;0.000;0.000;0.000
2016012101;0.000;0.000;0.000;0.000
2016012102;0.000;0.000;0.000;0.000
2016012103;0.000;0.000;0.000;0.000
2016012104;0.000;0.000;0.000;0.000
2016012105;0.000;0.000;0.000;0.000
2016012106;0.842;0.000;0.000;2.055
2016012107;0.842;1.139;0.000;0.000
2016012108;0.842;2.277;0.000;0.000
2016012109;2.527;2.277;0.000;0.000
2016012110;0.000;0.000;1.065;0.000
2016012111;0.842;3.416;0.000;0.000
2016012112;3.370;0.000;0.000;0.000
2016012113;3.370;3.416;0.000;0.000
2016012114;2.527;4.554;1.065;1.027
2016012115;6.739;2.277;1.065;0.000
2016012116;1.685;1.139;0.000;0.000
2016012117;1.685;2.277;1.065;0.000
2016012118;0.000;1.139;0.000;0.000
2016012119;0.000;0.000;0.000;0.000
2016012120;0.000;0.000;0.000;0.000
2016012121;0.000;0.000;0.000;0.000
2016012122;0.000;0.000;0.000;0.000
2016012123;0.000;0.000;0.000;0.000
2016012200;0.000;0.000;0.000;0.000
2016012201;0.000;0.000;0.000;0.000
2016012202;0.000;0.000;0.000;0.000
2016012203;0.000;0.000;0.000;0.000
2016012204;0.000;0.000;0.000;0.000
2016012205;0.000;0.000;0.000;0.000
2016012206;0.000;0.000;0.000;0.000
2016012207;0.842;0.000;0.000;0.000
2016012208;0.842;2.277;2.131;0.000
2016012209;0.000;1.139;0.000;0.000
2016012210;0.000;1.139;0.000;0.000
2016012211;0.842;1.139;3.196;0.000
2016012212;0.842;1.139;0.000;0.000
2016012213;2.527;3.416;0.000;0.000
2016012214;0.000;6.832;1.065;0.000
2016012215;5.897;6.832;0.000;0.000
2016012216;4.212;3.416;1.065;0.000
2016012217;0.000;0.000;1.065;0.000
2016012218;0.000;0.000;0.000;0.000
2016012219;0.000;1.139;0.000;0.000
2016012220;0.000;0.000;0.000;0.000
2016012221;0.000;0.000;0.000;0.000
2016012222;0.000;0.000;0.000;0.000
