ccrs;meat;gender;member;age_group;age_group_2
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000623845;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000623845;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000623845;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000623845;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000631571;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620784;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620786;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620781;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000625415;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;0;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000604924;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
1000599740;1;M;Mitarbeitende;AK2;26 - 34-jaehrig
